MATCH #,TEAM 1,TEAM 2,GROUP,Event Id,Event Name,Event Date,Venue,Section,Sold Quantity,Sold Proceeds,Sold Cost,Margin,P & L,UNIT.P&L,Unsold Quantity,Unsold Cost,UNIT LIST PRICE,Unit Cost
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,800.00 ",$727.03 ,$450.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$2,418.60 ","$2,480.00 ",-0.025386587,($61.40),($15.35),0,$0.00 ,$0.00 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,860.00 ",$699.26 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,4,"$1,936.44 ","$1,860.00 ",0.039474499,$76.44 ,$19.11 ,0,$0.00 ,$0.00 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$3,049.36 ","$2,480.00 ",0.186714589,$569.36 ,$142.34 ,0,$0.00 ,$0.00 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 3,4,"$1,337.28 ",$860.00 ,0.356903565,$477.28 ,$119.32 ,0,$0.00 ,$0.00 ,$215.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$2,480.00 ",$914.65 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,860.00 ",$337.69 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 3,4,"$1,241.80 ",$860.00 ,0.307456917,$381.80 ,$95.45 ,0,$0.00 ,$0.00 ,$215.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$2,480.00 ","$1,029.00 ",$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$1,808.72 ","$1,800.00 ",0.004821088,$8.72 ,$2.18 ,0,$0.00 ,$0.00 ,$450.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$2,686.80 ","$2,480.00 ",0.076968884,$206.80 ,$51.70 ,0,$0.00 ,$0.00 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$1,818.80 ","$1,800.00 ",0.010336485,$18.80 ,$4.70 ,0,$0.00 ,$0.00 ,$450.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,2,$799.20 ,$930.00 ,-0.163663663,($130.80),($65.40),2,$930.00 ,"$1,262.08 ",$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,4,"$1,827.28 ","$1,860.00 ",-0.017906396,($32.72),($8.18),0,$0.00 ,$0.00 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,800.00 ",$773.93 ,$450.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,520.00 ",$371.80 ,$380.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$2,638.35 ","$2,480.00 ",0.060018572,$158.35 ,$39.59 ,0,$0.00 ,$0.00 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,4,"$1,416.13 ","$1,860.00 ",-0.313438737,($443.87),($110.97),0,$0.00 ,$0.00 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,860.00 ",$665.14 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,4,"$1,859.76 ","$1,860.00 ",-0.000129048,($0.24),($0.06),0,$0.00 ,$0.00 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,800.00 ",$820.84 ,$450.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 3,4,"$1,175.85 ",$860.00 ,0.268614193,$315.85 ,$78.96 ,0,$0.00 ,$0.00 ,$215.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,4,"$2,716.56 ","$2,480.00 ",0.087080719,$236.56 ,$59.14 ,0,$0.00 ,$0.00 ,$620.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,860.00 ",$596.92 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,860.00 ",$733.36 ,$465.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,800.00 ",$867.74 ,$450.00 
35,Netherlands,TBA,Group F,153020644,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$2,783.80 ","$1,640.00 ",0.410877218,"$1,143.80 ",$285.95 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 2,4,"$2,451.72 ","$1,240.00 ",0.49423262,"$1,211.72 ",$302.93 ,0,$0.00 ,$0.00 ,$310.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,240.00 ",$724.99 ,$310.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,"$1,200.00 ","$1,080.66 ",$600.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,640.00 ","$1,301.07 ",$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,640.00 ","$1,364.54 ",$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$2,699.92 ","$1,640.00 ",0.392574594,"$1,059.92 ",$264.98 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,3,"$1,800.00 ","$1,293.41 ",$600.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$3,275.40 ","$1,640.00 ",0.499297795,"$1,635.40 ",$408.85 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$3,167.68 ","$1,640.00 ",0.482270936,"$1,527.68 ",$381.92 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,"$1,200.00 ",$729.30 ,$600.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,3,"$1,800.00 ","$1,363.32 ",$600.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$2,873.60 ","$1,640.00 ",0.429287305,"$1,233.60 ",$308.40 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$1,916.43 ","$1,640.00 ",0.144242158,$276.43 ,$69.11 ,0,$0.00 ,$0.00 ,$410.00 
35,Netherlands,TBA,Group F,153020842,Netherlands vs TBA - World Cup - Group F (Match 35),6/20/2026 12:00:00 PM +00:00,NRG Stadium at NRG Park - Complex,Category 1,4,"$1,800.50 ","$1,640.00 ",0.089141905,$160.50 ,$40.12 ,0,$0.00 ,$0.00 ,$410.00 
